insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-15' , 59,2950,233)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-26' , 39,5990,97)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-18' , 56,5990,40)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-05' , 10,2950,117)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-20' , 37,5990,4)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-23' , 124,2950,64)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-26' , 112,5990,63)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-25' , 102,2950,219)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-26' , 100,2950,148)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-13' , 64,2950,27)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-01' , 49,2950,163)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-17' , 94,5990,116)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-09' , 126,3300,168)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-12' , 2,5990,212)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-15' , 94,2950,37)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-24' , 9,1750,176)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-10' , 129,2950,216)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-03' , 16,5990,98)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-09' , 91,2950,144)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-13' , 65,1750,88)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-18' , 15,2950,139)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-11' , 63,1750,116)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-05' , 32,2950,218)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-07' , 78,2950,190)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-13' , 74,2950,11)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-28' , 51,2950,209)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-22' , 12,2950,208)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-09' , 39,5990,64)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-27' , 18,1750,105)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-10' , 110,2950,119)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-24' , 22,2950,165)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-02' , 87,5990,24)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-21' , 14,5990,20)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-25' , 101,2950,91)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-16' , 83,2950,131)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-24' , 107,2950,51)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-15' , 10,5990,227)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-15' , 20,5990,233)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-10' , 14,5990,158)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-29' , 7,3300,160)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-02' , 63,2950,135)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-05' , 95,1750,104)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-05' , 61,2950,17)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-20' , 115,3300,201)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-19' , 111,2950,171)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-06' , 64,3300,32)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-21' , 85,2950,83)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-05' , 34,2950,104)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-07' , 33,2950,154)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-31' , 8,2950,42)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-05' , 76,2950,174)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-05' , 15,2950,86)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-13' , 8,5990,211)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-10' , 86,2950,152)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-06' , 54,1750,192)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-18' , 2,2950,3)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-06' , 103,3300,35)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-19' , 35,2950,149)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-09' , 6,2950,92)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-05' , 36,2950,135)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-23' , 58,3300,10)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-19' , 97,3300,43)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-14' , 40,2950,133)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-27' , 107,5990,111)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-04' , 111,2950,143)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-11' , 121,5990,18)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-25' , 57,2950,124)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-15' , 11,2950,205)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-19' , 76,2950,13)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-17' , 18,2950,177)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-12' , 126,2950,173)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-28' , 71,2950,220)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-03' , 5,2950,232)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-12' , 54,2950,182)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-14' , 89,2950,198)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-30' , 113,2950,209)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-31' , 118,5990,98)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-24' , 104,2950,194)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-11' , 120,5990,102)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-07' , 11,2950,22)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-26' , 66,3300,21)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-13' , 12,2950,2)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-28' , 70,2950,148)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-29' , 15,2950,225)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-20' , 3,2950,229)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-07' , 117,2950,91)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-22' , 89,2950,124)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-30' , 67,2950,81)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-05' , 120,2950,61)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-01' , 101,5990,92)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-04' , 66,2950,84)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-12' , 92,2950,192)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-29' , 16,5990,63)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-23' , 16,2950,145)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-17' , 122,1750,85)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-20' , 75,3300,167)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-05' , 1,1750,139)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-30' , 64,2950,179)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-09' , 127,1750,235)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-30' , 104,2950,77)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-21' , 28,5990,213)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-05' , 72,2950,61)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-22' , 79,3300,158)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-09' , 20,5990,184)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-09' , 85,2950,17)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-15' , 117,1750,98)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-23' , 21,1750,193)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-23' , 104,2950,228)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-26' , 88,2950,46)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-15' , 68,2950,4)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-26' , 49,1750,191)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-12' , 108,2950,151)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-19' , 67,5990,221)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-04' , 25,2950,231)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-12' , 107,5990,15)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-17' , 107,2950,13)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-13' , 103,2950,14)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-22' , 99,2950,140)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-09' , 98,5990,8)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-29' , 20,5990,56)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-31' , 8,5990,54)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-08' , 97,2950,25)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-12' , 55,5990,110)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-23' , 56,2950,203)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-04' , 124,2950,100)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-26' , 128,5990,216)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-02' , 89,2950,34)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-09' , 86,5990,183)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-23' , 101,2950,63)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-03' , 56,3300,38)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-25' , 119,2950,117)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-24' , 38,3300,25)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-22' , 111,3300,4)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-25' , 47,2950,136)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-10' , 36,1750,153)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-04' , 45,5990,197)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-12' , 70,3300,77)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-26' , 116,3300,206)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-04' , 88,3300,159)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-09' , 49,2950,191)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-23' , 75,2950,189)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-27' , 2,2950,107)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-25' , 39,2950,182)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-11' , 67,2950,173)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-13' , 89,5990,183)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-24' , 5,2950,6)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-12' , 63,2950,223)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-09' , 97,2950,176)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-25' , 48,3300,187)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-01' , 76,2950,103)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-20' , 128,3300,206)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-06' , 15,5990,106)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-03' , 123,1750,108)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-30' , 91,5990,125)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-16' , 24,2950,66)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-30' , 129,2950,169)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-26' , 26,5990,129)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-01' , 88,3300,175)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-20' , 114,2950,145)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-12' , 57,2950,160)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-25' , 77,1750,103)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-01' , 16,2950,126)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-11' , 85,2950,234)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-02' , 28,2950,103)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-06' , 47,2950,115)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-15' , 42,2950,192)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-13' , 27,1750,4)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-04' , 52,3300,199)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-29' , 48,2950,38)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-30' , 72,2950,80)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-11' , 73,2950,89)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-25' , 120,5990,59)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-06' , 114,2950,100)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-28' , 87,1750,20)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-01' , 39,5990,92)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-18' , 49,2950,50)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-29' , 39,2950,93)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-27' , 101,2950,131)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-15' , 8,2950,146)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-22' , 106,5990,156)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-25' , 107,2950,193)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-16' , 4,2950,2)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-19' , 121,2950,51)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-06' , 11,2950,174)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-26' , 89,2950,18)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-24' , 13,5990,75)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-13' , 73,2950,237)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-29' , 5,2950,205)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-25' , 36,1750,155)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-07' , 41,2950,40)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-28' , 57,5990,64)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-14' , 59,5990,204)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-01' , 47,2950,99)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-06' , 11,2950,25)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-07' , 109,5990,51)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-16' , 125,2950,106)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-10' , 98,2950,7)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-07' , 9,3300,169)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-14' , 41,2950,217)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-25' , 36,2950,14)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-09' , 125,2950,203)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-09' , 27,2950,25)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-19' , 37,2950,180)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-20' , 50,2950,108)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-24' , 14,2950,228)
